rank,year_ranked,material_type,coaster_name,park_name,supplier,year_built,status,speed,height,length,num_inversions,manufacturer,seating_type,city,state,country,zip_code
45,2019,Wooden,Rutschebanan,Tivoli Gardens,L.A. Thompson S. R. Co.,1914,status.operating,50.0,13.0,720.0,0.0,L.A. Thompson Scenic Railway,Sit Down,Copenhagen,Region Hovedstaden,Denmark,1630
45,2019,Wooden,Twister,Knoebels Amusement Resort,Fetterman,1999,status.operating,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
47,2019,Wooden,El Toro,Freizeitpark Plohn,Great Coasters Int.,2009,status.operating,75.0,28.0,750.0,0.0,GCI,Sit Down,Reichenbach/Vogtland,Saxony,Germany,08485
48,2019,Wooden,Twister,Gröna Lund,The Gravity Group,2011,status.operating,61.0,15.0,480.0,0.0,Gravity Group,Sit Down,Stockholm,Stockholms,Sweden,115 21
49,2019,Wooden,Switchback,ZDT's,The Gravity Group,2015,status.operating,66.0,20.0,365.0,,Gravity Group,Sit Down,Seguin,Texas,United States,78155
50,2019,Wooden,Grizzly,Kings Dominion,Taft,1982,status.operating,,27.0,960.0,0.0,na,Sit Down,Doswell,Virginia,United States,23047
1,2018,Wooden,Phoenix,Knoebels Amusement Resort,PTC/Schmeck-Dinn,1985,status.operating,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
2,2018,Wooden,El Toro,Six Flags Great Adventure,Intamin,2006,status.operating,113.0,55.0,1341.0,0.0,Intamin,Sit Down,Jackson,New Jersey,United States,08527
3,2018,Wooden,Voyage,Holiday World,Gravity Group,2006,status.operating,108.0,49.0,1963.0,0.0,Gravity Group,Sit Down,Santa Claus,Indiana,United States,47579
4,2018,Wooden,Boulder Dash,Lake Compounce,Custom Coasters,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
5,2018,Wooden,Beast,Kings Island,KECO,1979,status.operating,104.0,34.0,2243.0,0.0,Charlie Dinn,Sit Down,Mason,Ohio,United States,45040
6,2018,Wooden,Lightning Rod,Dollywood,Rocky Mountain,2016,status.operating,118.0,50.0,1158.0,0.0,RMC,Sit Down,Pigeon Forge,Tennessee,United States,37863
7,2018,Wooden,Outlaw Run,Silver Dollar City,Rocky Mountain,2013,status.operating,110.0,50.0,,2.0,RMC,Sit Down,Branson,Missouri,United States,65616
8,2018,Wooden,Ravine Flyer II,Waldameer,Gravity Group,2008,,,,,,,,,,,
9,2018,Wooden,Gold Striker,California's Great America,Great Coasters Int.,2013,status.operating,87.0,33.0,975.0,0.0,GCI,Sit Down,Santa Clara,California,United States,95054
10,2018,Wooden,Thunderhead,Dollywood,Great Coasters Int.,2004,status.operating,89.0,31.0,985.0,0.0,GCI,Sit Down,Pigeon Forge,Tennessee,United States,37863
11,2018,Wooden,Mystic Timbers,Kings Island,Great Coasters Int.,2017,status.operating,85.0,33.0,995.0,0.0,GCI,Sit Down,Mason,Ohio,United States,45040
12,2018,Wooden,Lightning Racer,Hersheypark,Great Coasters Int.,2000,status.operating,82.0,27.0,1036.0,0.0,GCI,Sit Down,Hershey,Pennsylvania,United States,17033
13,2018,Wooden,GhostRider,Knott's Berry Farm,Custom Coasters,1998,status.operating,90.0,36.0,1382.0,0.0,GCI,Sit Down,Buena Park,California,United States,90620
14,2018,Wooden,Balder,Liseberg,Intamin,2003,status.operating,90.0,36.0,1070.0,0.0,Intamin,Sit Down,Gothenburg,Västra Götalands,Sweden,402 22
15,2018,Wooden,Thunderbolt,Kennywood,Vettel/Miller,1968,,,,,,,,,,,
16,2018,Wooden,Wodan,Europa-Park,Great Coasters Int.,2012,status.operating,100.0,35.0,1050.0,0.0,GCI,Sit Down,Rust,Baden-Württemberg,Germany,77977
17,2018,Wooden,Wildfire,Kolmården,Rocky Mountain,2016,status.operating,113.0,57.0,1300.0,3.0,RMC,Sit Down,Kolmården,Östergötlands,Sweden,618 92
18,2018,Wooden,Raven,Holiday World,Custom Coasters,1995,status.operating,77.0,33.0,832.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
19,2018,Wooden,Goliath,Six Flags Great America,Rocky Mountain,2014,status.operating,115.0,55.0,950.0,2.0,RMC,Sit Down,Gurnee,Illinois,United States,60031
20,2018,Wooden,Jack Rabbit,Kennywood,Miller,1920,,,,,,,,,,,
21,2018,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,Prior & Church/Looff,1924,,,,,,,,,,,
21,2018,Wooden,Shivering Timbers,Michigan's Adventure,Custom Coasters,1998,,,,,,,,,,,
23,2018,Wooden,Legend,Holiday World,Custom Coasters,2000,status.operating,93.0,35.0,1232.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
24,2018,Wooden,White Lightning,Fun Spot America,Great Coasters Int.,2013,status.operating,75.0,23.0,600.0,0.0,GCI,Sit Down,Orlando,Florida,United States,32819
25,2018,Wooden,Troy,Toverland,Great Coasters Int.,2007,status.operating,87.0,32.0,1077.0,0.0,GCI,Sit Down,Sevenum,Limburg,Netherlands,5975
26,2018,Wooden,Renegade,Valleyfair,Great Coasters Int.,2007,status.operating,,32.0,950.0,0.0,GCI,Sit Down,Shakopee,Minnesota,United States,55379
27,2018,Wooden,Cú Chulainn,Tayto Park,Gravity Group,2015,status.operating,90.0,32.0,1094.0,0.0,Gravity Group,Sit Down,Ashbourne,Meath,Ireland,A84 EA02
28,2018,Wooden,Colossos,Heide Park,Intamin,2001,status.operating,110.0,51.0,1500.0,0.0,Intamin,Sit Down,Soltau,Lower Saxony,Germany,29614
29,2018,Wooden,Cyclone,Coney Island,Keenan/Baker,1927,status.operating,97.0,26.0,869.0,0.0,na,Sit Down,Brooklyn,New York,United States,11224
30,2018,Wooden,Prowler,Worlds of Fun,Great Coasters Int.,2009,status.operating,82.0,31.0,937.0,0.0,GCI,Sit Down,Kansas City,Missouri,United States,64161
30,2018,Wooden,Rampage,Alabama Splash Adventure,Custom Coasters,1998,status.operating,90.0,37.0,1067.0,0.0,CCI,Sit Down,Bessemer,Alabama,United States,35022
32,2018,Wooden,Comet,Six Flags Great Escape,PTC/Schmeck,1994,status.operating,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Queensbury,New York,United States,12804
33,2018,Wooden,Boardwalk Bullet,Kemah Boardwalk,M&V/Gravity Group,2007,status.operating,82.0,29.0,986.0,0.0,Gravity Group,Sit Down,Kemah,Texas,United States,77565
34,2018,Wooden,Flying Turns,Knoebels Amusement Resort,Knoebels,2013,status.operating,39.0,15.0,396.0,0.0,Knoebels,Bobsleigh,Elysburg,Pennsylvania,United States,17824
35,2018,Wooden,Rutschebanan,Tivoli Gardens,L.A. Thompson,1914,status.operating,50.0,13.0,720.0,0.0,L.A. Thompson Scenic Railway,Sit Down,Copenhagen,Region Hovedstaden,Denmark,1630
36,2018,Wooden,Switchback,ZDT's,Gravity Group,2015,status.operating,66.0,20.0,365.0,,Gravity Group,Sit Down,Seguin,Texas,United States,78155
37,2018,Wooden,Blue Streak,Conneaut Lake Park,Vettel/NAD,1938,status.operating,,,883.0,0.0,na,na,Conneaut Lake,Pennsylvania,United States,16316
38,2018,Wooden,American Thunder,Six Flags St. Louis,Great Coasters Int.,2008,status.operating,77.0,25.0,827.0,0.0,GCI,Sit Down,Eureka,Missouri,United States,63025
38,2018,Wooden,Screamin' Eagle,Six Flags St. Louis,Allen/PTC,1976,status.operating,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Eureka,Missouri,United States,63025
40,2018,Wooden,Grizzly,Kings Dominion,Summers-KECO,1982,status.operating,,27.0,960.0,0.0,na,Sit Down,Doswell,Virginia,United States,23047
41,2018,Wooden,Blue Streak,Cedar Point,PTC/Hoover,1964,status.operating,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Sandusky,Ohio,United States,44870
42,2018,Wooden,Playland Wooden Coaster,PNE Playland,Phare,1959,status.operating,75.0,20.0,865.0,0.0,na,Sit Down,Vancouver,British Columbia,Canada,V5K 5J1
43,2018,Wooden,Boss,Six Flags St. Louis,Custom Coasters,2000,status.operating,106.0,46.0,1540.0,0.0,CCI,Sit Down,Eureka,Missouri,United States,63025
44,2018,Wooden,Wild One,Six Flags Great America,PTC/Miller/Dinn,1986,,,,,,,,,,,
45,2018,Wooden,T Express,Everland,Intamin,2008,status.operating,104.0,56.0,1641.0,0.0,Intamin,Sit Down,Seoul,Seoul,South Korea,17023
46,2018,Wooden,Megafobia,Oakwood Leisure Park,Custom Coasters,1996,status.operating,77.0,26.0,901.0,0.0,CCI,Sit Down,Pembroke,Wales,United Kingdom,SA67 8DE
47,2018,Wooden,Hades 360,Mt. Olympus Theme Park,Gravity Group,2005,,,,,,,,,,,
48,2018,Wooden,Mine Blower,Fun Spot America,Gravity Group,2017,status.operating,78.0,25.0,698.0,1.0,Gravity Group,Sit Down,Orlando,Florida,United States,32819
49,2018,Wooden,Wooden Warrior,Quassy Amusement Park,Gravity Group,2011,status.operating,56.0,11.0,378.0,0.0,Gravity Group,Sit Down,Middlebury,Connecticut,United States,06762
50,2018,Wooden,Twister,Knoebels Amusement Resort,Fetterman/Knoebels,1999,status.operating,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
1,2017,Wooden,El Toro,Six Flags Great Adventure,Intamin,2009,status.operating,113.0,55.0,1341.0,0.0,Intamin,Sit Down,Jackson,New Jersey,United States,08527
2,2017,Wooden,Phoenix,Knoebels Amusement Resort,Dinn-PTC/Schmeck,1985,status.operating,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
3,2017,Wooden,Boulder Dash,Lake Compounce,Custom Coasters,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
4,2017,Wooden,Voyage,Holiday World,Gravity Group,2006,status.operating,108.0,49.0,1963.0,0.0,Gravity Group,Sit Down,Santa Claus,Indiana,United States,47579
5,2017,Wooden,Lightning Rod,Dollywood,Rocky Mountain,2016,status.operating,118.0,50.0,1158.0,0.0,RMC,Sit Down,Pigeon Forge,Tennessee,United States,37863
6,2017,Wooden,Beast,Kings Island,KECO,1979,status.operating,104.0,34.0,2243.0,0.0,Charlie Dinn,Sit Down,Mason,Ohio,United States,45040
7,2017,Wooden,Ravine Flyer II,Waldameer,Gravity Group,2008,,,,,,,,,,,
8,2017,Wooden,Thunderhead,Dollywood,Great Coasters Int.,2004,status.operating,89.0,31.0,985.0,0.0,GCI,Sit Down,Pigeon Forge,Tennessee,United States,37863
9,2017,Wooden,Outlaw Run,Silver Dollar City,Rocky Mountain,2013,status.operating,110.0,50.0,,2.0,RMC,Sit Down,Branson,Missouri,United States,65616
10,2017,Wooden,Gold Striker,California's Great America,Great Coasters Int.,2013,status.operating,87.0,33.0,975.0,0.0,GCI,Sit Down,Santa Clara,California,United States,95054
11,2017,Wooden,Mystic Timbers,Kings Island,Great Coasters Int.,2017,status.operating,85.0,33.0,995.0,0.0,GCI,Sit Down,Mason,Ohio,United States,45040
12,2017,Wooden,Lightning Racer,Hersheypark,Great Coasters Int.,2000,status.operating,82.0,27.0,1036.0,0.0,GCI,Sit Down,Hershey,Pennsylvania,United States,17033
13,2017,Wooden,Goliath,Six Flags Great America,Rocky Mountain,2014,status.operating,115.0,55.0,950.0,2.0,RMC,Sit Down,Gurnee,Illinois,United States,60031
14,2017,Wooden,Boardwalk Bullet,Kemah Boardwalk,M&V/Gravity Group,2007,status.operating,82.0,29.0,986.0,0.0,Gravity Group,Sit Down,Kemah,Texas,United States,77565
15,2017,Wooden,Wodan,Europa-Park,Great Coasters Int.,2012,status.operating,100.0,35.0,1050.0,0.0,GCI,Sit Down,Rust,Baden-Württemberg,Germany,77977
16,2017,Wooden,Balder,Liseberg,Intamin,2003,status.operating,90.0,36.0,1070.0,0.0,Intamin,Sit Down,Gothenburg,Västra Götalands,Sweden,402 22
17,2017,Wooden,Thunderbolt,Kennywood,Vettel/Miller,1968,,,,,,,,,,,
18,2017,Wooden,GhostRider,Knott's Berry Farm,Custom Coasters,1998,status.operating,90.0,36.0,1382.0,0.0,GCI,Sit Down,Buena Park,California,United States,90620
18,2017,Wooden,Troy,Toverland,Great Coasters Int.,2007,status.operating,87.0,32.0,1077.0,0.0,GCI,Sit Down,Sevenum,Limburg,Netherlands,5975
18,2017,Wooden,White Lightning,Fun Spot America,Great Coasters Int.,2013,status.operating,75.0,23.0,600.0,0.0,GCI,Sit Down,Orlando,Florida,United States,32819
21,2017,Wooden,Rampage,Alabama Splash Adventure,Custom Coasters,1998,status.operating,90.0,37.0,1067.0,0.0,CCI,Sit Down,Bessemer,Alabama,United States,35022
22,2017,Wooden,Cyclone,Coney Island,Keenan/Baker,1927,status.operating,97.0,26.0,869.0,0.0,na,Sit Down,Brooklyn,New York,United States,11224
23,2017,Wooden,Raven,Holiday World,Custom Coasters,1995,status.operating,77.0,33.0,832.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
24,2017,Wooden,Legend,Holiday World,Custom Coasters,2000,status.operating,93.0,35.0,1232.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
25,2017,Wooden,Shivering Timbers,Michigan's Adventure,Custom Coasters,1998,,,,,,,,,,,
26,2017,Wooden,Jack Rabbit,Kennywood,PTC/Miller,1920,,,,,,,,,,,
27,2017,Wooden,Prowler,Worlds of Fun,Great Coasters Int.,2009,status.operating,82.0,31.0,937.0,0.0,GCI,Sit Down,Kansas City,Missouri,United States,64161
28,2017,Wooden,Boss,Six Flags St. Louis,Custom Coasters,2000,status.operating,106.0,46.0,1540.0,0.0,CCI,Sit Down,Eureka,Missouri,United States,63025
29,2017,Wooden,Wildfire,Kolmården,Rocky Mountain,2016,status.operating,113.0,57.0,1300.0,3.0,RMC,Sit Down,Kolmården,Östergötlands,Sweden,618 92
30,2017,Wooden,Cú Chulainn,Tayto Park,Gravity Group,2015,status.operating,90.0,32.0,1094.0,0.0,Gravity Group,Sit Down,Ashbourne,Meath,Ireland,A84 EA02
31,2017,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,Prior & Church/Looff,1924,,,,,,,,,,,
32,2017,Wooden,Comet,Six Flags Great Escape,PTC/Schmeck,1994,status.operating,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Queensbury,New York,United States,12804
33,2017,Wooden,Switchback,ZDT's,Gravity Group,2015,status.operating,66.0,20.0,365.0,,Gravity Group,Sit Down,Seguin,Texas,United States,78155
34,2017,Wooden,Colossos,Heide Park,Intamin,2001,status.operating,110.0,51.0,1500.0,0.0,Intamin,Sit Down,Soltau,Lower Saxony,Germany,29614
35,2017,Wooden,Twister,Knoebels Amusement Resort,Fetterman/Knoebels,1999,status.operating,83.0,31.0,1189.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
36,2017,Wooden,Wild Mouse,Blackpool Pleasure Beach,"Wright, Blackpool",1958,status.closed.definitely,,,390.0,0.0,na,Sit Down,Blackpool,England,United Kingdom,FY4 1EZ
37,2017,Wooden,Blue Streak,Conneaut Lake Park,Vettel,1964,status.operating,,,883.0,0.0,na,na,Conneaut Lake,Pennsylvania,United States,16316
38,2017,Wooden,Hades 360,Mt. Olympus Theme Park,Gravity Group,1995,,,,,,,,,,,
39,2017,Wooden,Playland Wooden Coaster,PNE Playland,Phare,1958,status.operating,75.0,20.0,865.0,0.0,na,Sit Down,Vancouver,British Columbia,Canada,V5K 5J1
40,2017,Wooden,American Thunder,Six Flags St. Louis,Great Coasters Int.,2009,status.operating,77.0,25.0,827.0,0.0,GCI,Sit Down,Eureka,Missouri,United States,63025
41,2017,Wooden,El Toro,Freizeitpark Plohn,Great Coasters Int.,2006,status.operating,75.0,28.0,750.0,0.0,GCI,Sit Down,Reichenbach/Vogtland,Saxony,Germany,08485
42,2017,Wooden,Blue Streak,Cedar Point,PTC/Hoover,1964,status.operating,64.0,24.0,780.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Sandusky,Ohio,United States,44870
43,2017,Wooden,Screamin' Eagle,Six Flags St. Louis,PTC/Allen,1976,status.operating,100.0,34.0,1180.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Eureka,Missouri,United States,63025
44,2017,Wooden,Flying Turns,Knoebels Amusement Resort,Knoebels,2013,status.operating,39.0,15.0,396.0,0.0,Knoebels,Bobsleigh,Elysburg,Pennsylvania,United States,17824
45,2017,Wooden,Wooden Warrior,Quassy Amusement Park,Gravity Group,2011,status.operating,56.0,11.0,378.0,0.0,Gravity Group,Sit Down,Middlebury,Connecticut,United States,06762
46,2017,Wooden,Grizzly,Kings Dominion,Summers-KECO,1982,status.operating,,27.0,960.0,0.0,na,Sit Down,Doswell,Virginia,United States,23047
47,2017,Wooden,Tremors,Silverwood,Custom Coasters,1999,status.operating,96.0,31.0,915.0,0.0,CCI,Sit Down,Athol,Idaho,United States,83801
48,2017,Wooden,Grand National,Blackpool Pleasure Beach,Paige,1935,,,,,,,,,,,
49,2017,Wooden,Kentucky Rumbler,Beech Bend,Great Coasters Int.,2006,status.operating,77.0,27.0,862.0,0.0,GCI,Sit Down,Bowling Green,Kentucky,United States,42101
50,2017,Wooden,Twister,Gröna Lund,Gravity Group,2011,status.operating,61.0,15.0,480.0,0.0,Gravity Group,Sit Down,Stockholm,Stockholms,Sweden,115 21
1,2016,Wooden,Boulder Dash,Lake Compounce,Custom Coasters,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
1,2016,Wooden,Boulder Dash,Lake Compounce,Custom Coasters,2000,status.operating,97.0,35.0,1440.0,0.0,CCI,Sit Down,Bristol,Connecticut,United States,06010
2,2016,Wooden,Phoenix,Knoebels Amusement Resort,Dinn-PTC/Schmeck,1985,status.operating,72.0,24.0,975.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Elysburg,Pennsylvania,United States,17824
3,2016,Wooden,El Toro,Six Flags Great Adventure,Intamin,2006,status.operating,113.0,55.0,1341.0,0.0,Intamin,Sit Down,Jackson,New Jersey,United States,08527
4,2016,Wooden,The Voyage,Holiday World,Gravity Group,2006,status.operating,108.0,49.0,1963.0,0.0,Gravity Group,Sit Down,Santa Claus,Indiana,United States,47579
5,2016,Wooden,Ravine Flyer II,Waldameer,Gravity Group,2008,,,,,,,,,,,
6,2016,Wooden,The Beast,Kings Island,KECO,1979,status.operating,104.0,34.0,2243.0,0.0,Charlie Dinn,Sit Down,Mason,Ohio,United States,45040
7,2016,Wooden,Thunderhead,Dollywood,Great Coasters Int.,2004,status.operating,89.0,31.0,985.0,0.0,GCI,Sit Down,Pigeon Forge,Tennessee,United States,37863
8,2016,Wooden,Outlaw Run,Silver Dollar City,Rocky Mountain,2013,status.operating,110.0,50.0,,2.0,RMC,Sit Down,Branson,Missouri,United States,65616
9,2016,Wooden,Gold Striker,California's Great America,Great Coasters Int.,2013,status.operating,87.0,33.0,975.0,0.0,GCI,Sit Down,Santa Clara,California,United States,95054
10,2016,Wooden,Lightning Racer,Hersheypark,Great Coasters Int.,2000,status.operating,82.0,27.0,1036.0,0.0,GCI,Sit Down,Hershey,Pennsylvania,United States,17033
11,2016,Wooden,Lightning Rod,Dollywood,Rocky Mountain,2016,status.operating,118.0,50.0,1158.0,0.0,RMC,Sit Down,Pigeon Forge,Tennessee,United States,37863
12,2016,Wooden,Balder,Liseberg,Intamin,2003,status.operating,90.0,36.0,1070.0,0.0,Intamin,Sit Down,Gothenburg,Västra Götalands,Sweden,402 22
13,2016,Wooden,Goliath,Six Flags Great America,Rocky Mountain,2014,status.operating,115.0,55.0,950.0,2.0,RMC,Sit Down,Gurnee,Illinois,United States,60031
14,2016,Wooden,Prowler,Worlds of Fun,Great Coasters Int.,2009,status.operating,82.0,31.0,937.0,0.0,GCI,Sit Down,Kansas City,Missouri,United States,64161
15,2016,Wooden,The Raven,Holiday World,Custom Coasters,1995,status.operating,77.0,33.0,832.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
16,2016,Wooden,The Legend,Holiday World,Custom Coasters,2000,status.operating,93.0,35.0,1232.0,0.0,CCI,Sit Down,Santa Claus,Indiana,United States,47579
17,2016,Wooden,Giant Dipper,Santa Cruz Beach Boardwalk,Prior & Church/Looff,1924,,,,,,,,,,,
18,2016,Wooden,Colossos,Heide Park,Intamin,2001,status.operating,110.0,51.0,1500.0,0.0,Intamin,Sit Down,Soltau,Lower Saxony,Germany,29614
19,2016,Wooden,Shivering Timbers,Michigan's Adventure,Custom Coasters,1998,,,,,,,,,,,
20,2016,Wooden,Jack Rabbit,Kennywood,PTC/Miller,1920,,,,,,,,,,,
21,2016,Wooden,Thunderbolt,Kennywood,Vettel/Miller,1968,,,,,,,,,,,
22,2016,Wooden,Cú Chulainn,Tayto Park,Gravity Group,2015,status.operating,90.0,32.0,1094.0,0.0,Gravity Group,Sit Down,Ashbourne,Meath,Ireland,A84 EA02
23,2016,Wooden,Wodan,Europa-Park,Great Coasters Int.,2012,status.operating,100.0,35.0,1050.0,0.0,GCI,Sit Down,Rust,Baden-Württemberg,Germany,77977
24,2016,Wooden,Troy,Toverland,Great Coasters Int.,2007,status.operating,87.0,32.0,1077.0,0.0,GCI,Sit Down,Sevenum,Limburg,Netherlands,5975
25,2016,Wooden,Comet,Six Flags Great Escape,PTC/Schmeck,1994,status.operating,89.0,29.0,1279.0,0.0,Philadelphia Toboggan Coaster,Sit Down,Queensbury,New York,United States,12804
25,2016,Wooden,El Toro,Freizeitpark Plohn,Great Coasters Int.,2009,status.operating,75.0,28.0,750.0,0.0,GCI,Sit Down,Reichenbach/Vogtland,Saxony,Germany,08485
27,2016,Wooden,Cyclone,Coney Island,Keenan/Baker,1927,status.operating,97.0,26.0,869.0,0.0,na,Sit Down,Brooklyn,New York,United States,11224
28,2016,Wooden,Wildfire,Kolmården,Rocky Mountain,2016,status.operating,113.0,57.0,1300.0,3.0,RMC,Sit Down,Kolmården,Östergötlands,Sweden,618 92
29,2016,Wooden,GhostRider,Knott's Berry Farm,Custom Coasters,1998,status.operating,90.0,36.0,1382.0,0.0,GCI,Sit Down,Buena Park,California,United States,90620
30,2016,Wooden,Playland Wooden Coaster,PNE Playland,Phare,1958,status.operating,75.0,20.0,865.0,0.0,na,Sit Down,Vancouver,British Columbia,Canada,V5K 5J1
31,2016,Wooden,The Boss,Six Flags St. Louis,Custom Coasters,2000,status.operating,106.0,46.0,1540.0,0.0,CCI,Sit Down,Eureka,Missouri,United States,63025
32,2016,Wooden,Wild Mouse,Blackpool Pleasure Beach,"Wright, Blackpool",1958,status.closed.definitely,,,390.0,0.0,na,Sit Down,Blackpool,England,United Kingdom,FY4 1EZ
33,2016,Wooden,American Thunder,Six Flags St. Louis,Great Coasters Int.,2009,status.operating,77.0,25.0,827.0,0.0,GCI,Sit Down,Eureka,Missouri,United States,63025
34,2016,Wooden,White Lightning,Fun Spot America,Great Coasters Int.,2013,status.operating,75.0,23.0,600.0,0.0,GCI,Sit Down,Orlando,Florida,United States,32819
35,2016,Wooden,Megafobia,Oakwood Leisure Park,Custom Coasters,1996,status.operating,77.0,26.0,901.0,0.0,CCI,Sit Down,Pembroke,Wales,United Kingdom,SA67 8DE
36,2016,Wooden,Hades 360,Mt. Olympus Theme Park,Gravity Group,1995,,,,,,,,,,,
37,2016,Wooden,Rampage,Alabama Splash Adventure,Custom Coasters,1998,status.operating,90.0,37.0,1067.0,0.0,CCI,Sit Down,Bessemer,Alabama,United States,35022
